iter	Passed	Remaining
0	3	326
1	5	253
2	7	226
3	8	203
4	10	201
5	12	194
6	14	194
7	16	192
8	18	189
9	20	185
10	22	181
11	24	176
12	25	172
13	27	170
14	29	168
15	31	165
16	33	162
17	34	158
18	36	156
19	38	154
20	40	150
21	41	148
22	43	145
23	45	143
24	47	141
25	49	139
26	50	136
27	52	133
28	53	131
29	55	130
30	57	128
31	59	125
32	60	123
33	62	121
34	64	119
35	65	117
36	67	115
37	69	113
38	71	111
39	72	109
40	74	107
41	75	104
42	77	102
43	78	100
44	80	97
45	82	96
46	83	94
47	85	92
48	87	90
49	88	88
50	90	86
51	92	85
52	94	83
53	96	81
54	97	79
55	98	77
56	100	76
57	102	74
58	104	72
59	106	70
60	108	69
61	110	67
62	112	65
63	113	63
64	115	62
65	116	60
66	118	58
67	120	56
68	121	54
69	123	52
70	125	51
71	127	49
72	129	47
73	130	45
74	132	44
75	133	42
76	135	40
77	136	38
78	138	36
79	140	35
80	141	33
81	143	31
82	145	29
83	147	28
84	149	26
85	150	24
86	152	22
87	153	20
88	155	19
89	156	17
90	157	15
91	159	13
92	161	12
93	163	10
94	165	8
95	166	6
96	168	5
97	170	3
98	172	1
99	174	0
